zip_code,public_transportation_pct,public_transportation_population,minimo,maximo
1379,3.3,13.0,3.3,1379.0
1440,0.4,34.0,0.4,1440.0
1505,0.9,23.0,0.9,1505.0
1524,0.5,20.0,0.5,1524.0
1529,1.8,32.0,1.8,1529.0
1583,0.7,19.0,0.7,1583.0
1588,,,1588.0,1588.0
1609,3.3,275.0,3.3,1609.0
1721,6.9,684.0,6.9,1721.0
1731,3.5,28.0,3.5,1731.0
1740,3.2,88.0,3.2,1740.0
1741,2.7,64.0,2.7,1741.0
1770,9.4,195.0,9.4,1770.0
1773,9.5,223.0,9.5,1773.0
1775,2.7,100.0,2.7,1775.0
1821,3.6,640.0,3.6,1821.0
1843,3.6,430.0,3.6,1843.0
1863,3.2,147.0,3.2,1863.0
1864,4.2,359.0,4.2,1864.0
1876,2.8,451.0,2.8,1876.0
1880,8.5,1255.0,8.5,1880.0
1906,8.1,1181.0,8.1,1906.0
1923,2.9,407.0,2.9,1923.0
1929,8.9,160.0,8.9,1929.0
1940,3.2,215.0,3.2,1940.0
1028,1.7,133.0,1.7,1028.0
1033,0.7,25.0,0.7,1033.0
1037,,,1037.0,1037.0
1005,,,1005.0,1005.0
1027,2.2,220.0,2.2,1027.0
1038,0.6,11.0,0.6,1038.0
1054,0.8,8.0,0.8,1054.0
1103,9.0,82.0,9.0,1103.0
1084,,,1084.0,1084.0
1092,,,1092.0,1092.0
1107,8.8,318.0,8.8,1107.0
1119,0.8,44.0,0.8,1119.0
1236,,,1236.0,1236.0
1245,0.7,3.0,0.7,1245.0
1254,,,1254.0,1254.0
1262,2.7,17.0,2.7,1262.0
1338,,,1338.0,1338.0
1368,,,1368.0,1368.0
1453,1.1,232.0,1.1,1453.0
1460,4.1,206.0,4.1,1460.0
1462,1.4,78.0,1.4,1462.0
1475,,,1475.0,1475.0
1519,3.5,129.0,3.5,1519.0
1532,2.3,182.0,2.3,1532.0
1534,1.3,45.0,1.3,1534.0
1535,1.6,41.0,1.6,1535.0
1585,1.1,26.0,1.1,1585.0
1050,,,1050.0,1050.0
1108,7.2,834.0,7.2,1108.0
1128,1.4,21.0,1.4,1128.0
1235,0.3,4.0,0.3,1235.0
1026,2.0,9.0,2.0,1026.0
1531,,,1531.0,1531.0
1603,3.2,296.0,3.2,1603.0
1001,0.9,80.0,0.9,1001.0
1607,2.7,109.0,2.7,1607.0
1702,4.5,946.0,4.5,1702.0
1760,8.5,1619.0,8.5,1760.0
1778,5.2,371.0,5.2,1778.0
1887,4.3,553.0,4.3,1887.0
1830,4.7,621.0,4.7,1830.0
1852,3.8,637.0,3.8,1852.0
1879,1.0,71.0,1.0,1879.0
1921,1.9,80.0,1.9,1921.0
1105,7.1,241.0,7.1,1105.0
1201,2.1,458.0,2.1,1201.0
1230,2.0,84.0,2.0,1230.0
1238,2.3,64.0,2.3,1238.0
1257,,,1257.0,1257.0
1367,,,1367.0,1367.0
1430,0.4,13.0,0.4,1430.0
1432,2.2,100.0,2.2,1432.0
1436,,,1436.0,1436.0
1463,1.2,77.0,1.2,1463.0
1468,,,1468.0,1468.0
1516,0.3,15.0,0.3,1516.0
1523,1.6,55.0,1.6,1523.0
1541,0.3,5.0,0.3,1541.0
1560,4.2,95.0,4.2,1560.0
1570,0.6,50.0,0.6,1570.0
1608,7.3,80.0,7.3,1608.0
1970,10.3,2375.0,10.3,2375.0
1985,3.6,82.0,3.6,1985.0
1966,7.5,256.0,7.5,1966.0
1745,,,1745.0,1745.0
1746,4.7,347.0,4.7,1746.0
1754,4.3,251.0,4.3,1754.0
1749,1.1,118.0,1.1,1749.0
1827,1.0,18.0,1.0,1827.0
1833,0.6,27.0,0.6,1833.0
1844,1.4,384.0,1.4,1844.0
1944,16.1,428.0,16.1,1944.0
1845,3.6,551.0,3.6,1845.0
1850,3.7,278.0,3.7,1850.0
1915,8.3,1828.0,8.3,1915.0
1040,1.5,237.0,1.5,1040.0
1039,0.7,5.0,0.7,1039.0
1905,12.4,1542.0,12.4,1905.0
1824,3.0,406.0,3.0,1824.0
1450,4.1,232.0,4.1,1450.0
1612,1.2,30.0,1.2,1612.0
1960,3.6,976.0,3.6,1960.0
1969,4.5,148.0,4.5,1969.0
1983,0.8,25.0,0.8,1983.0
1010,,,1010.0,1010.0
1036,0.3,8.0,0.3,1036.0
1220,0.4,18.0,0.4,1220.0
1718,11.1,44.0,11.1,1718.0
1537,0.1,1.0,0.1,1537.0
1521,,,1521.0,1521.0
1610,5.9,561.0,5.9,1610.0
1550,0.1,10.0,0.1,1550.0
1542,2.5,31.0,2.5,1542.0
1757,1.7,255.0,1.7,1757.0
1776,3.3,287.0,3.3,1776.0
1803,3.2,426.0,3.2,1803.0
1810,4.4,756.0,4.4,1810.0
1832,4.1,477.0,4.1,1832.0
1860,3.3,124.0,3.3,1860.0
1862,3.2,179.0,3.2,1862.0
1890,12.1,1322.0,12.1,1890.0
1118,1.0,67.0,1.0,1118.0
1469,1.3,52.0,1.3,1469.0
1081,,,1081.0,1081.0
1886,1.7,205.0,1.7,1886.0
1022,,,1022.0,1022.0
1748,6.9,584.0,6.9,1748.0
1566,0.2,5.0,0.2,1566.0
1002,10.4,1548.0,10.4,1548.0
1011,,,1011.0,1011.0
1080,,,1080.0,1080.0
1109,5.6,613.0,5.6,1109.0
1151,2.9,105.0,2.9,1151.0
1222,,,1222.0,1222.0
1225,,,1225.0,1225.0
1337,,,1337.0,1337.0
1341,0.8,8.0,0.8,1341.0
1373,2.1,47.0,2.1,1373.0
1346,,,1346.0,1346.0
1351,0.7,8.0,0.7,1351.0
1366,0.5,3.0,0.5,1366.0
1376,1.1,26.0,1.1,1376.0
1378,,,1378.0,1378.0
1772,2.6,126.0,2.6,1772.0
1854,4.5,602.0,4.5,1854.0
1199,,,1199.0,1199.0
1009,,,1009.0,1009.0
1937,,,1937.0,1937.0
1093,,,1093.0,1093.0
1434,2.8,7.0,2.8,1434.0
1561,,,1561.0,1561.0
1243,,,1243.0,1243.0
1270,,,1270.0,1270.0
1354,,,1354.0,1354.0
1074,,,1074.0,1074.0
1224,10.8,12.0,10.8,1224.0
1063,3.8,12.0,3.8,1063.0
1094,,,1094.0,1094.0
1097,,,1097.0,1097.0
1003,4.0,143.0,4.0,1003.0
1089,2.2,316.0,2.2,1089.0
1259,5.8,14.0,5.8,1259.0
1507,0.3,19.0,0.3,1507.0
1581,3.7,351.0,3.7,1581.0
1229,,,1229.0,1229.0
1343,,,1343.0,1343.0
1347,,,1347.0,1347.0
1260,,,1260.0,1260.0
1066,,,1066.0,1066.0
1086,,,1086.0,1086.0
1079,,,1079.0,1079.0
1525,,,1525.0,1525.0
1901,29.4,215.0,29.4,1901.0
1247,1.6,111.0,1.6,1247.0
1253,1.9,7.0,1.9,1253.0
1331,1.2,74.0,1.2,1331.0
1330,1.2,11.0,1.2,1330.0
1266,0.5,4.0,0.5,1266.0
1340,0.5,4.0,0.5,1340.0
1350,,,1350.0,1350.0
1438,,,1438.0,1438.0
1007,0.6,51.0,0.6,1007.0
1020,1.1,168.0,1.1,1020.0
1030,,,1030.0,1030.0
1034,0.8,10.0,0.8,1034.0
1035,0.8,21.0,0.8,1035.0
1053,3.7,26.0,3.7,1053.0
1057,,,1057.0,1057.0
1082,0.5,25.0,0.5,1082.0
1085,0.5,100.0,0.5,1085.0
1088,,,1088.0,1088.0
1104,5.0,450.0,5.0,1104.0
1106,0.3,22.0,0.3,1106.0
1226,0.5,19.0,0.5,1226.0
1255,1.0,4.0,1.0,1255.0
1258,1.7,3.0,1.7,1258.0
1301,0.4,35.0,0.4,1301.0
1339,0.5,3.0,0.5,1339.0
1370,,,1370.0,1370.0
1375,16.0,374.0,16.0,1375.0
1452,0.6,16.0,0.6,1452.0
1464,4.0,119.0,4.0,1464.0
1474,,,1474.0,1474.0
1501,0.8,70.0,0.8,1501.0
1503,0.9,15.0,0.9,1503.0
1504,0.3,17.0,0.3,1504.0
1510,0.3,23.0,0.3,1510.0
1515,0.4,5.0,0.4,1515.0
1562,0.5,32.0,0.5,1562.0
1590,0.2,9.0,0.2,1590.0
1564,0.6,25.0,0.6,1564.0
1568,2.0,80.0,2.0,1568.0
1571,0.5,30.0,0.5,1571.0
1605,5.4,662.0,5.4,1605.0
1606,1.9,190.0,1.9,1606.0
1719,5.9,184.0,5.9,1719.0
1013,1.8,180.0,1.8,1013.0
1029,,,1029.0,1029.0
1008,,,1008.0,1008.0
1012,,,1012.0,1012.0
1031,,,1031.0,1031.0
1032,0.9,3.0,0.9,1032.0
1056,0.5,55.0,0.5,1056.0
1060,2.7,229.0,2.7,1060.0
1069,,,1069.0,1069.0
1070,1.1,4.0,1.1,1070.0
1077,0.2,10.0,0.2,1077.0
1083,,,1083.0,1083.0
1095,0.6,43.0,0.6,1095.0
1098,2.2,16.0,2.2,1098.0
1129,,,1129.0,1129.0
1237,0.6,8.0,0.6,1237.0
1244,,,1244.0,1244.0
1902,15.6,3548.0,15.6,3548.0
1913,1.3,126.0,1.3,1913.0
1922,1.5,23.0,1.5,1922.0
1930,4.7,691.0,4.7,1930.0
1701,3.5,624.0,3.5,1701.0
1602,2.3,289.0,2.3,1602.0
1611,,,1611.0,1611.0
1730,2.9,198.0,2.9,1730.0
1835,2.0,145.0,2.0,1835.0
1904,9.0,870.0,9.0,1904.0
1908,9.7,193.0,9.7,1908.0
1945,7.2,705.0,7.2,1945.0
1950,3.5,331.0,3.5,1950.0
1952,2.7,117.0,2.7,1952.0
1984,2.9,67.0,2.9,1984.0
1720,5.9,701.0,5.9,1720.0
1742,7.8,638.0,7.8,1742.0
1747,3.5,108.0,3.5,1747.0
1756,5.4,182.0,5.4,1756.0
1834,1.9,67.0,1.9,1834.0
1527,0.4,26.0,0.4,1527.0
1522,,,1522.0,1522.0
1536,4.1,162.0,4.1,1536.0
1540,0.8,47.0,0.8,1540.0
1543,,,1543.0,1543.0
1545,2.7,496.0,2.7,1545.0
1569,0.2,11.0,0.2,1569.0
1604,1.8,314.0,1.8,1604.0
1752,1.9,424.0,1.9,1752.0
1801,5.2,1181.0,5.2,1801.0
1826,1.8,303.0,1.8,1826.0
1907,12.1,874.0,12.1,1907.0
1949,2.3,96.0,2.3,1949.0
1951,8.0,168.0,8.0,1951.0
1518,,,1518.0,1518.0
1520,0.6,46.0,0.6,1520.0
1851,3.3,486.0,3.3,1851.0
1867,8.9,1187.0,8.9,1867.0
1840,8.0,150.0,8.0,1840.0
1841,4.8,1009.0,4.8,1841.0
1938,3.2,234.0,3.2,1938.0
1982,7.1,260.0,7.1,1982.0
1071,,,1071.0,1071.0
1072,,,1072.0,1072.0
1062,1.2,63.0,1.2,1062.0
1068,0.6,6.0,0.6,1068.0
1073,,,1073.0,1073.0
1264,8.0,7.0,7.0,1264.0
1075,1.8,167.0,1.8,1075.0
1096,0.1,1.0,0.1,1096.0
1223,,,1223.0,1223.0
1342,,,1342.0,1342.0
1267,1.1,40.0,1.1,1267.0
1240,,,1240.0,1240.0
1242,,,1242.0,1242.0
1256,,,1256.0,1256.0
1344,2.1,17.0,2.1,1344.0
1349,7.1,45.0,7.1,1349.0
1355,1.2,5.0,1.2,1355.0
1360,,,1360.0,1360.0
1420,2.5,463.0,2.5,1420.0
1431,0.8,14.0,0.8,1431.0
1451,3.9,90.0,3.9,1451.0
1467,,,1467.0,1467.0
1473,4.4,182.0,4.4,1473.0
1506,,,1506.0,1506.0
1364,0.9,30.0,0.9,1364.0
3032,,,3032.0,3032.0
3037,,,3037.0,3037.0
3042,0.4,16.0,0.4,3042.0
3044,,,3044.0,3044.0
3049,0.3,12.0,0.3,3049.0
3062,1.9,275.0,1.9,3062.0
3086,,,3086.0,3086.0
3110,1.1,122.0,1.1,3110.0
3225,,,3225.0,3225.0
3261,,,3261.0,3261.0
3268,,,3268.0,3268.0
3291,,,3291.0,3291.0
3449,,,3449.0,3449.0
3458,,,3458.0,3458.0
3031,0.3,20.0,0.3,3031.0
3038,1.0,186.0,1.0,3038.0
3102,0.9,143.0,0.9,3102.0
3045,0.4,28.0,0.4,3045.0
3106,0.7,56.0,0.7,3106.0
3229,,,3229.0,3229.0
3243,1.7,9.0,1.7,3243.0
3263,,,3263.0,3263.0
3444,1.9,15.0,1.9,3444.0
3448,,,3448.0,3448.0
3464,,,3464.0,3464.0
3466,,,3466.0,3466.0
3608,0.9,13.0,0.9,3608.0
3765,,,3765.0,3765.0
3773,0.1,3.0,0.1,3773.0
3816,,,3816.0,3816.0
3830,,,3830.0,3830.0
3235,,,3235.0,3235.0
3237,,,3237.0,3237.0
3262,,,3262.0,3262.0
3264,,,3264.0,3264.0
3266,0.9,12.0,0.9,3266.0
3278,,,3278.0,3278.0
3282,,,3282.0,3282.0
3442,0.7,5.0,0.7,3442.0
3574,0.2,2.0,0.2,3574.0
3576,0.1,1.0,0.1,3576.0
3584,0.2,4.0,0.2,3584.0
3588,,,3588.0,3588.0
3602,0.4,6.0,0.4,3602.0
3801,1.5,191.0,1.5,3801.0
3810,,,3810.0,3810.0
3833,1.0,114.0,1.0,3833.0
3841,0.3,10.0,0.3,3841.0
3844,,,3844.0,3844.0
3862,0.6,15.0,0.6,3862.0
3883,,,3883.0,3883.0
3063,1.2,106.0,1.2,3063.0
3054,0.3,38.0,0.3,3054.0
3077,0.8,45.0,0.8,3077.0
3084,0.4,3.0,0.4,3084.0
3036,0.3,7.0,0.3,3036.0
3055,0.1,8.0,0.1,3055.0
3216,,,3216.0,3216.0
3240,,,3240.0,3240.0
3241,,,3241.0,3241.0
3244,0.5,19.0,0.5,3244.0
3279,,,3279.0,3279.0
3280,0.4,3.0,0.4,3280.0
3281,0.5,25.0,0.5,3281.0
3284,,,3284.0,3284.0
3290,1.1,32.0,1.1,3290.0
3307,,,3307.0,3307.0
3034,1.6,34.0,1.6,3034.0
3582,0.2,2.0,0.2,3582.0
3585,,,3585.0,3585.0
3753,,,3753.0,3753.0
3592,,,3592.0,3592.0
3781,0.6,6.0,0.6,3781.0
3784,3.7,71.0,3.7,3784.0
3785,0.2,2.0,0.2,3785.0
3812,1.2,3.0,1.2,3812.0
3819,,,3819.0,3819.0
3825,0.3,13.0,0.3,3825.0
3443,,,3443.0,3443.0
3580,0.3,2.0,0.3,3580.0
3768,,,3768.0,3768.0
3777,0.8,7.0,0.8,3777.0
3809,,,3809.0,3809.0
3811,1.0,38.0,1.0,3811.0
3818,,,3818.0,3818.0
3827,0.8,14.0,0.8,3827.0
3839,,,3839.0,3839.0
3857,1.3,71.0,1.3,3857.0
3860,0.6,14.0,0.6,3860.0
3886,,,3886.0,3886.0
3901,1.2,50.0,1.2,3901.0
3902,,,3902.0,3902.0
3868,1.3,31.0,1.3,3868.0
3874,,,3874.0,3874.0
3875,,,3875.0,3875.0
3878,1.7,107.0,1.7,3878.0
3906,0.4,9.0,0.4,3906.0
3908,1.8,79.0,1.8,3908.0
3840,1.8,36.0,1.8,3840.0
3867,3.6,399.0,3.6,3867.0
3869,,,3869.0,3869.0
3872,,,3872.0,3872.0
3835,3.0,105.0,3.0,3835.0
3836,0.5,3.0,0.5,3836.0
3051,0.3,38.0,0.3,3051.0
3052,0.6,28.0,0.6,3052.0
3043,,,3043.0,3043.0
3253,,,3253.0,3253.0
3257,0.5,10.0,0.5,3257.0
3242,,,3242.0,3242.0
3275,0.2,11.0,0.2,3275.0
3287,0.5,4.0,0.5,3287.0
3440,,,3440.0,3440.0
3215,5.4,5.0,5.0,3215.0
3070,,,3070.0,3070.0
3071,,,3071.0,3071.0
3220,,,3220.0,3220.0
3223,,,3223.0,3223.0
3224,0.5,6.0,0.5,3224.0
3251,,,3251.0,3251.0
3259,,,3259.0,3259.0
3260,3.9,18.0,3.9,3260.0
3053,0.6,86.0,0.6,3053.0
3104,0.9,161.0,0.9,3104.0
3222,0.1,3.0,0.1,3222.0
3226,2.2,11.0,2.2,3226.0
3064,2.0,142.0,2.0,3064.0
3101,3.8,54.0,3.8,3101.0
3217,,,3217.0,3217.0
3218,,,3218.0,3218.0
3221,0.4,4.0,0.4,3221.0
3230,1.5,12.0,1.5,3230.0
3256,,,3256.0,3256.0
3273,,,3273.0,3273.0
3233,,,3233.0,3233.0
3246,,,3246.0,3246.0
3431,0.1,18.0,0.1,3431.0
3445,0.5,2.0,0.5,3445.0
3447,0.4,5.0,0.4,3447.0
3451,0.5,12.0,0.5,3451.0
3452,,,3452.0,3452.0
3455,,,3455.0,3455.0
3605,,,3605.0,3605.0
3751,,,3751.0,3751.0
3752,,,3752.0,3752.0
3845,,,3845.0,3845.0
3855,,,3855.0,3855.0
3856,2.5,22.0,2.5,3856.0
3865,0.3,13.0,0.3,3865.0
3870,0.5,16.0,0.5,3870.0
3887,0.5,6.0,0.5,3887.0
3894,1.9,52.0,1.9,3894.0
3903,0.7,26.0,0.7,3903.0
3579,,,3579.0,3579.0
3462,,,3462.0,3462.0
3467,0.3,3.0,0.3,3467.0
3570,,,3570.0,3570.0
3590,,,3590.0,3590.0
3595,,,3595.0,3595.0
3603,1.3,29.0,1.3,3603.0
3743,0.3,19.0,0.3,3743.0
3745,0.4,3.0,0.4,3745.0
3750,2.4,11.0,2.4,3750.0
3755,5.9,271.0,5.9,3755.0
3770,,,3770.0,3770.0
3771,0.5,2.0,0.5,3771.0
3774,,,3774.0,3774.0
3820,2.4,404.0,2.4,3820.0
3826,0.6,8.0,0.6,3826.0
3832,,,3832.0,3832.0
3269,,,3269.0,3269.0
3276,,,3276.0,3276.0
3303,0.3,26.0,0.3,3303.0
3441,,,3441.0,3441.0
3461,1.1,30.0,1.1,3461.0
3470,,,3470.0,3470.0
3465,,,3465.0,3465.0
3581,,,3581.0,3581.0
3446,1.9,61.0,1.9,3446.0
3450,,,3450.0,3450.0
3598,0.4,6.0,0.4,3598.0
3741,1.3,30.0,1.3,3741.0
3748,,,3748.0,3748.0
3813,,,3813.0,3813.0
3817,,,3817.0,3817.0
3824,5.4,392.0,5.4,3824.0
3837,,,3837.0,3837.0
3838,,,3838.0,3838.0
3842,0.5,43.0,0.5,3842.0
3846,,,3846.0,3846.0
3858,,,3858.0,3858.0
3882,0.9,6.0,0.9,3882.0
3884,2.0,44.0,2.0,3884.0
3885,,,3885.0,3885.0
3873,,,3873.0,3873.0
3904,1.0,43.0,1.0,3904.0
3905,2.3,18.0,2.3,3905.0
3907,1.0,5.0,1.0,3907.0
3909,,,3909.0,3909.0
3583,0.6,3.0,0.6,3583.0
3609,,,3609.0,3609.0
3607,1.7,4.0,1.7,3607.0
3561,,,3561.0,3561.0
3780,5.1,17.0,5.1,3780.0
3814,,,3814.0,3814.0
3864,,,3864.0,3864.0
3854,,,3854.0,3854.0
3848,1.7,58.0,1.7,3848.0
3849,,,3849.0,3849.0
3087,1.3,94.0,1.3,3087.0
3103,1.2,228.0,1.2,3103.0
3109,0.7,43.0,0.7,3109.0
3234,1.3,31.0,1.3,3234.0
3033,0.3,8.0,0.3,3033.0
3057,0.6,8.0,0.6,3057.0
3060,1.9,277.0,1.9,3060.0
3082,,,3082.0,3082.0
3076,0.2,15.0,0.2,3076.0
3301,0.6,95.0,0.6,3301.0
3766,5.5,268.0,5.5,3766.0
3601,1.1,2.0,1.1,3601.0
3779,0.4,2.0,0.4,3779.0
3852,4.4,12.0,4.4,3852.0
3853,,,3853.0,3853.0
3457,,,3457.0,3457.0
3782,,,3782.0,3782.0
3048,0.2,3.0,0.2,3048.0
3227,,,3227.0,3227.0
3245,,,3245.0,3245.0
3293,,,3293.0,3293.0
3847,,,3847.0,3847.0
3238,,,3238.0,3238.0
3871,,,3871.0,3871.0
3597,,,3597.0,3597.0
3593,,,3593.0,3593.0
3046,,,3046.0,3046.0
3890,,,3890.0,3890.0
3746,,,3746.0,3746.0
3231,,,3231.0,3231.0
3079,1.3,210.0,1.3,3079.0
3047,,,3047.0,3047.0
3255,,,3255.0,3255.0
3456,,,3456.0,3456.0
3254,,,3254.0,3254.0
3304,,,3304.0,3304.0
3851,1.1,23.0,1.1,3851.0
3249,,,3249.0,3249.0
3575,,,3575.0,3575.0
3911,,,3911.0,3911.0
3910,,,3910.0,3910.0
3850,,,3850.0,3850.0
3823,,,3823.0,3823.0
3604,,,3604.0,3604.0
3285,,,3285.0,3285.0
3740,,,3740.0,3740.0
3586,,,3586.0,3586.0
3258,,,3258.0,3258.0
3861,1.2,29.0,1.2,3861.0
3754,,,3754.0,3754.0
2650,,,2650.0,2650.0
2659,,,2659.0,2659.0
2554,1.6,97.0,1.6,2554.0
2556,,,2556.0,2556.0
2660,0.8,25.0,0.8,2660.0
2790,1.1,83.0,1.1,2790.0
2720,1.0,147.0,1.0,2720.0
2738,3.7,73.0,3.7,2738.0
2743,,,2743.0,2743.0
2807,2.0,10.0,2.0,2807.0
2852,1.2,135.0,1.2,2852.0
2879,1.8,180.0,1.8,2879.0
2886,1.0,137.0,1.0,2886.0
2780,1.6,399.0,1.6,2780.0
2808,,,2808.0,2808.0
2812,1.3,10.0,1.3,2812.0
2818,1.9,175.0,1.9,2818.0
2825,0.7,21.0,0.7,2825.0
2827,,,2827.0,2827.0
2366,,,2366.0,2366.0
2368,9.6,1647.0,9.6,2368.0
2332,4.6,318.0,4.6,2332.0
2346,2.1,254.0,2.1,2346.0
2445,34.4,3961.0,34.4,3961.0
2453,7.9,1322.0,7.9,2453.0
2468,11.7,341.0,11.7,2468.0
2476,20.0,1808.0,20.0,2476.0
2493,6.0,298.0,6.0,2493.0
2575,5.7,73.0,5.7,2575.0
2576,1.1,27.0,1.1,2576.0
2655,,,2655.0,2655.0
2657,1.1,17.0,1.1,2657.0
2673,5.7,243.0,5.7,2673.0
2675,0.3,9.0,0.3,2675.0
2702,0.7,16.0,0.7,2702.0
2769,1.3,88.0,1.3,2769.0
2804,,,2804.0,2804.0
2814,1.1,43.0,1.1,2814.0
2857,,1.0,1.0,2857.0
2881,2.5,75.0,2.5,2881.0
2898,,,2898.0,2898.0
2889,0.9,135.0,0.9,2889.0
2351,10.6,976.0,10.6,2351.0
2210,12.5,269.0,12.5,2210.0
2215,27.1,3289.0,27.1,3289.0
2347,2.9,179.0,2.9,2347.0
2364,3.1,212.0,3.1,2364.0
2459,11.4,1070.0,11.4,2459.0
2478,15.9,2070.0,15.9,2478.0
2492,10.4,984.0,10.4,2492.0
2540,2.9,105.0,2.9,2540.0
2543,0.7,3.0,0.7,2543.0
2563,0.6,30.0,0.6,2563.0
2635,2.9,37.0,2.9,2635.0
2644,0.4,10.0,0.4,2644.0
2653,0.2,5.0,0.2,2653.0
2664,1.1,44.0,1.1,2664.0
2668,,,2668.0,2668.0
2669,10.7,9.0,9.0,2669.0
2713,,,2713.0,2713.0
2715,1.0,18.0,1.0,2715.0
2717,0.4,11.0,0.4,2717.0
2874,1.7,54.0,1.7,2874.0
2885,0.6,35.0,0.6,2885.0
2888,1.0,108.0,1.0,2888.0
2894,,,2894.0,2894.0
2903,7.5,404.0,7.5,2903.0
2908,6.3,1025.0,6.3,2908.0
2920,2.7,429.0,2.7,2920.0
2111,23.8,856.0,23.8,2111.0
2382,3.1,256.0,3.1,2382.0
2638,,,2638.0,2638.0
2035,4.4,402.0,4.4,2035.0
2333,3.8,277.0,3.8,2333.0
2666,,,2666.0,2666.0
2763,3.7,43.0,3.7,2763.0
2339,6.7,460.0,6.7,2339.0
2464,12.4,212.0,12.4,2464.0
2633,1.0,18.0,1.0,2633.0
2703,4.8,1085.0,4.8,2703.0
2833,,,2833.0,2833.0
2631,1.4,64.0,1.4,2631.0
2745,1.2,151.0,1.2,2745.0
2863,6.3,504.0,6.3,2863.0
2896,0.4,23.0,0.4,2896.0
2904,3.7,504.0,3.7,2904.0
2909,5.8,1026.0,5.8,2909.0
2917,0.4,27.0,0.4,2917.0
2663,,,2663.0,2663.0
2641,,,2641.0,2641.0
2557,1.9,41.0,1.9,2557.0
2841,1.2,17.0,1.2,2841.0
2562,1.3,21.0,1.3,2562.0
2643,,,2643.0,2643.0
2357,1.6,8.0,1.6,2357.0
2791,15.4,8.0,8.0,2791.0
2203,,,2203.0,2203.0
2047,,,2047.0,2047.0
2912,1.4,7.0,1.4,2912.0
2637,,,2637.0,2637.0
2802,,,2802.0,2802.0
2564,,,2564.0,2564.0
2584,,,2584.0,2584.0
2876,,,2876.0,2876.0
2457,2.6,17.0,2.6,2457.0
2553,,,2553.0,2553.0
2561,6.4,13.0,6.4,2561.0
2651,,,2651.0,2651.0
2907,7.7,929.0,7.7,2907.0
2724,1.5,107.0,1.5,2724.0
2872,7.3,14.0,7.3,2872.0
2826,,,2826.0,2826.0
2873,,,2873.0,2873.0
2718,3.0,104.0,3.0,2718.0
2719,0.8,59.0,0.8,2719.0
2739,0.9,29.0,0.9,2739.0
2740,3.0,573.0,3.0,2740.0
2762,1.6,82.0,1.6,2762.0
2767,4.5,331.0,4.5,2767.0
2779,,,2779.0,2779.0
2813,1.0,39.0,1.0,2813.0
2840,2.5,312.0,2.5,2840.0
2836,,,2836.0,2836.0
2837,0.5,8.0,0.5,2837.0
2858,,,2858.0,2858.0
2882,0.2,16.0,0.2,2882.0
2891,1.3,136.0,1.3,2891.0
2842,1.4,114.0,1.4,2842.0
2861,2.9,373.0,2.9,2861.0
2906,7.8,1195.0,7.8,2906.0
2905,8.8,961.0,8.8,2905.0
2026,10.8,1416.0,10.8,2026.0
2032,13.1,315.0,13.1,2032.0
2053,4.1,306.0,4.1,2053.0
2090,17.2,1314.0,17.2,2090.0
2093,7.9,473.0,7.9,2093.0
2141,30.6,2503.0,30.6,2503.0
2144,41.9,7445.0,41.9,7445.0
2359,4.8,494.0,4.8,2359.0
2647,,,2647.0,2647.0
2744,3.9,182.0,3.9,2744.0
2646,,,2646.0,2646.0
2835,4.9,124.0,4.9,2835.0
2822,1.5,47.0,1.5,2822.0
2817,0.8,25.0,0.8,2817.0
2360,4.1,1223.0,4.1,2360.0
2375,5.0,270.0,5.0,2375.0
2649,0.9,61.0,0.9,2649.0
2746,2.6,167.0,2.6,2746.0
2770,0.7,19.0,0.7,2770.0
2748,0.2,9.0,0.2,2748.0
2760,4.5,648.0,4.5,2760.0
2766,3.5,388.0,3.5,2766.0
2420,6.6,449.0,6.6,2420.0
2186,12.2,1665.0,12.2,2186.0
2188,8.7,720.0,8.7,2188.0
2184,14.0,2617.0,14.0,2617.0
2465,9.9,592.0,9.9,2465.0
2466,12.4,519.0,12.4,2466.0
2472,16.4,3455.0,16.4,3455.0
2534,,,2534.0,2534.0
2538,,,2538.0,2538.0
2670,2.3,13.0,2.3,2670.0
2723,3.7,234.0,3.7,2723.0
2630,,,2630.0,2630.0
2639,2.2,31.0,2.2,2639.0
2725,,,2725.0,2725.0
2806,2.8,225.0,2.8,2806.0
2816,0.5,81.0,0.5,2816.0
2828,0.4,15.0,0.4,2828.0
2832,,,2832.0,2832.0
2878,0.7,54.0,0.7,2878.0
2892,,,2892.0,2892.0
2893,2.0,309.0,2.0,2893.0
2895,1.7,299.0,1.7,2895.0
2910,3.2,345.0,3.2,2910.0
2914,4.9,509.0,4.9,2914.0
2915,1.0,81.0,1.0,2915.0
2921,1.2,76.0,1.2,2921.0
2919,0.8,115.0,0.8,2919.0
2838,0.6,11.0,0.6,2838.0
2864,2.6,466.0,2.6,2864.0
2652,,,2652.0,2652.0
2667,2.4,33.0,2.4,2667.0
2672,,,2672.0,2672.0
2648,2.0,74.0,2.0,2648.0
2777,1.0,84.0,1.0,2777.0
2815,,,2815.0,2815.0
2831,1.0,16.0,1.0,2831.0
2859,0.2,6.0,0.2,2859.0
2860,4.0,856.0,4.0,2860.0
2019,2.4,232.0,2.4,2019.0
2052,10.9,645.0,10.9,2052.0
2061,8.9,458.0,8.9,2061.0
2066,11.5,1037.0,11.5,2066.0
2071,5.6,29.0,5.6,2071.0
2116,23.0,3226.0,23.0,3226.0
