zip_code,public_transportation_pct,public_transportation_population,minimo,maximo
29449,0.1,2.0,0.1,29449.0
29458,,,29458.0,29458.0
29461,0.6,102.0,0.6,29461.0
29464,0.7,205.0,0.7,29464.0
29470,,,29470.0,29470.0
29474,,,29474.0,29474.0
29032,,,29032.0,29032.0
29047,,,29047.0,29047.0
29061,1.7,126.0,1.7,29061.0
29384,,,29384.0,29384.0
29407,2.3,439.0,2.3,29407.0
29418,2.4,292.0,2.4,29418.0
29432,,,29432.0,29432.0
29434,,,29434.0,29434.0
29437,,,29437.0,29437.0
29440,0.7,75.0,0.7,29440.0
29450,,,29450.0,29450.0
29452,,,29452.0,29452.0
29456,0.1,14.0,0.1,29456.0
29477,0.5,11.0,0.5,29477.0
29525,0.9,6.0,0.9,29525.0
29340,0.4,32.0,0.4,29340.0
29353,0.3,6.0,0.3,29353.0
29364,,,29364.0,29364.0
29369,0.4,28.0,0.4,29369.0
